@relation 'music_genre_gold-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M31'

@attribute -0.133feature49-0.133feature50-0.133feature48-0.133feature51-0.133feature59... numeric
@attribute 0.206feature105+0.199feature106+0.188feature104+0.187feature107+0.179feature108... numeric
@attribute -0.186feature40-0.178feature39-0.178feature38-0.177feature41-0.173feature42... numeric
@attribute -0.257feature60-0.238feature1-0.231feature0-0.212feature29+0.178feature64... numeric
@attribute '0.294feature63+0.278feature62+0.24 feature1+0.238feature94+0.217feature93...' numeric
@attribute -0.309feature69-0.27feature70+0.251feature96-0.24feature100+0.229feature34... numeric
@attribute 0.255feature5-0.222feature6-0.217feature95-0.197feature62-0.184feature10... numeric
@attribute 0.312feature123+0.302feature92+0.279feature61-0.263feature109+0.257feature30... numeric
@attribute -0.296feature65-0.27feature96-0.234feature4-0.197feature108-0.193feature34... numeric
@attribute '0.252feature65-0.241feature9+0.231feature96+0.22 feature74-0.217feature99...' numeric
@attribute -0.297feature14-0.263feature13-0.249feature7+0.224feature8-0.209feature65... numeric
@attribute 0.306feature9-0.255feature16+0.245feature122-0.239feature15+0.237feature12... numeric
@attribute 0.366feature16-0.285feature6+0.274feature15-0.257feature11+0.244feature122... numeric
@attribute '-0.476feature7-0.282feature9+0.238feature71-0.211feature66+0.18 feature8...' numeric
@attribute '0.399feature12+0.3  feature10-0.259feature11-0.22feature9-0.207feature6...' numeric
@attribute -0.368feature15+0.355feature11-0.315feature10+0.196feature64-0.195feature7... numeric
@attribute -0.393feature8-0.304feature10-0.29feature9-0.227feature11-0.221feature16... numeric
@attribute 0.441feature11-0.42feature9-0.288feature14+0.242feature10+0.239feature16... numeric
@attribute -0.346feature14-0.333feature12-0.239feature13-0.196feature98-0.192feature67... numeric
@attribute 0.257feature12-0.248feature8-0.247feature34-0.242feature3-0.217feature16... numeric
@attribute -0.387feature8-0.277feature68+0.275feature16-0.27feature13-0.27feature7... numeric
@attribute -0.405feature13+0.285feature14-0.278feature69-0.232feature15-0.228feature67... numeric
@attribute -0.522feature15+0.382feature7+0.241feature16-0.218feature6+0.214feature14... numeric
@attribute '0.537feature16+0.335feature12-0.325feature14-0.22feature10+0.21 feature6...' numeric
@attribute '-0.305feature66-0.256feature70+0.25 feature65-0.227feature47+0.227feature9...' numeric
@attribute '0.383feature14-0.313feature13+0.294feature11+0.26 feature68-0.239feature9...' numeric
@attribute -0.329feature68-0.311feature95+0.267feature10+0.259feature12-0.239feature4... numeric
@attribute '0.441feature10+0.263feature6+0.25 feature70-0.24feature7+0.236feature68...' numeric
@attribute -0.274feature97-0.248feature98-0.246feature72-0.229feature4-0.229feature95... numeric
@attribute -0.339feature69+0.323feature95-0.311feature2-0.271feature100+0.263feature13... numeric
@attribute -0.324feature71-0.304feature6+0.281feature103-0.23feature35+0.218feature8... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-2.949991,-3.662176,7.10427,-0.771809,-2.508046,-2.933827,-2.838923,0.189973,-2.459594,3.354179,1.216462,0.78441,1.276322,-0.877699,0.899411,0.801995,-0.229027,0.328242,0.010867,-0.788369,-0.193215,0.890838,0.469259,0.747508,0.474796,-0.595399,-1.662617,-0.209382,-0.436233,-0.160445,-0.066982,4
3.434696,3.795913,-3.189934,-1.898334,0.258231,-2.334272,0.41359,0.287686,1.408234,0.296921,-0.21769,0.625726,1.44563,0.520339,1.927053,0.082591,-0.728878,-0.138054,2.155225,-0.844179,0.590789,0.36835,-0.225877,-0.35105,-0.120088,0.299647,-0.608468,0.780312,0.341081,-0.166689,-0.900087,2
-0.409465,-3.174712,-1.427962,0.732771,-1.669664,-0.018895,0.489032,0.367621,0.313297,-0.058374,0.140274,0.033621,0.269855,0.626758,0.658482,0.703447,-0.24804,-0.608929,0.79151,0.180495,0.572571,-0.64982,0.190064,0.862514,-0.264702,-0.696071,-0.188287,0.448346,-0.335843,-0.243329,0.824342,8
-2.433333,-4.94163,3.127705,0.324166,-2.409921,-2.194569,-2.603833,0.120171,-1.418684,2.602543,0.472476,-1.017591,1.491225,-0.154703,0.866703,0.663564,-0.381786,-0.575905,0.080709,-0.639953,-0.476522,0.94596,0.334465,-0.427462,-1.057922,0.210709,-0.442418,-0.526399,-0.269387,-0.011034,0.550667,4
9.937562,3.187398,7.350363,2.950906,4.471361,3.093353,2.83761,-0.003924,-3.507611,4.542049,-0.234896,1.878819,-3.801304,1.577125,0.836708,0.163798,-1.372584,-1.761009,2.33673,0.022289,-0.844087,-1.196918,-1.504359,-2.156635,3.284492,-0.891334,0.249467,-0.212055,1.868253,0.940093,1.892691,9
-0.784643,-3.287362,3.548645,3.458889,0.614892,-1.189123,0.84083,-0.186878,0.815467,0.569435,1.425794,-0.849752,-0.826912,0.824061,0.577466,-0.041276,-0.213686,-0.563262,0.266347,0.31033,-0.272219,-0.605714,0.773004,-0.03842,-0.776601,0.073875,0.031693,-0.673063,-1.008665,0.274951,-0.584483,3
4.44021,3.578422,-0.766423,2.017161,2.809916,-2.64331,-1.065263,-0.344481,-0.534312,0.071788,0.606185,-0.160624,-1.052972,-0.132677,-2.018806,0.10982,-1.446336,0.5152,-0.455019,-0.614623,-0.897967,0.607844,0.101628,-0.497483,0.051209,1.207537,-0.426861,-0.934231,0.356252,-1.441978,-0.146808,2
-1.786854,2.416435,5.9128,3.94997,-2.109535,1.912037,-2.415968,0.146719,0.117513,1.064493,-0.166062,0.591485,0.864113,-0.283466,0.773607,1.204133,0.436111,0.531601,-0.667305,-0.1633,-1.24842,-0.735006,-0.148067,-1.158813,0.618491,-0.986809,-0.897727,0.362886,-0.49251,0.885884,-1.736436,7
0.395506,-6.724743,3.362435,1.110849,-2.637686,0.053549,0.576204,-0.520757,-0.898718,-0.589308,1.464693,-0.529308,1.155727,-1.456605,1.267548,0.996157,0.297851,-1.156949,0.288886,0.616136,-0.847222,0.813709,0.385275,-0.615005,-0.190775,-0.228119,-0.110523,-0.710649,-0.36314,0.464276,-1.505173,7
8.753678,-0.29919,3.730806,-1.352178,0.315498,1.140891,3.161134,0.158154,1.244522,1.686293,0.465829,1.086579,-1.050218,0.571198,-0.204575,0.752451,0.404949,-0.537724,0.288781,-0.589808,-0.016898,0.397082,-0.329858,1.105565,0.30327,-0.123117,0.85109,0.466111,0.226412,0.074083,0.066345,9
1.177627,-2.532583,1.70263,1.823962,-0.517442,-0.583807,0.631976,0.741782,0.160124,0.395329,1.112461,-0.927456,-0.252777,0.328081,1.111134,-0.212951,0.914128,0.203937,-0.292199,0.520428,-0.501208,-0.570914,-0.348834,1.44264,0.247946,-1.140784,-0.554607,0.222466,-1.024158,0.00258,-1.106019,4
6.948029,-2.450949,0.441404,0.058729,-0.007373,1.93055,-0.843847,-1.94115,-0.610244,-2.086587,-0.908728,-1.407205,0.790524,-0.924874,1.29516,-2.207385,0.891953,-1.856113,0.372298,0.290154,0.883377,1.289971,-0.035975,-0.687015,-0.333483,0.64217,0.856524,0.390382,0.172903,-0.34345,-1.284293,7
-7.760968,6.824935,-4.401795,2.497159,1.923618,0.507863,-2.401363,-0.846062,1.113013,0.948892,0.246865,-0.723091,0.046717,0.368572,0.308181,-2.510562,0.785693,0.737264,-0.798817,0.780508,-0.180717,-1.285765,2.081296,-0.301413,0.828142,-0.838539,0.475211,0.057905,0.14012,-0.743407,-0.300652,2
7.110631,-0.957438,3.810745,2.815738,1.526867,-1.854753,-0.288812,1.202875,-0.061749,0.28481,0.425872,0.511162,0.156834,2.148798,0.548441,-0.079705,0.095734,0.907155,0.190341,-0.250018,-0.811094,-2.058821,0.170993,-0.926297,-0.067645,0.461888,0.207212,0.327876,-0.000758,-0.49028,0.268266,4
2.271836,0.359499,-1.588973,0.751073,-1.962283,-1.48812,-1.396009,-0.691428,0.269117,0.351118,-0.098668,0.374264,-1.887897,-0.467374,0.3963,-2.668709,-1.471074,-1.395147,-0.379574,0.518244,-0.402231,1.868206,-2.541713,-1.218553,-1.035266,0.008382,-0.598789,0.658502,-0.695886,0.223369,0.39749,5
1.750584,-8.059164,0.831376,-2.218978,-0.663867,1.016997,0.873168,0.920127,-0.603104,-0.152158,-0.000202,-0.214588,0.180912,0.422445,1.181616,-0.332215,0.232227,-0.518068,-1.271719,-0.036136,1.201711,0.797295,0.686797,-0.154598,-0.241875,0.318491,0.044499,0.380076,0.334517,-0.337099,-0.489743,6
-4.494715,-0.915546,-4.218125,2.947834,-3.805452,-0.167491,-0.106457,1.061656,1.616716,-0.823998,-1.605409,0.013523,-0.082443,-1.484792,0.238737,1.107509,0.820424,-0.154768,0.138566,0.721495,0.916465,0.72925,-1.143646,-0.065937,1.350858,0.673235,0.627296,-0.197296,0.986129,-0.534832,0.138794,0
-6.903103,-0.252667,-0.311097,-5.061091,-1.069832,1.454397,1.06806,1.425141,0.893337,-1.445122,-1.706004,2.009893,1.908398,2.75139,-1.244763,-0.94111,-1.788517,-0.626843,-0.17026,1.193168,-0.532938,-0.254908,-0.09922,0.073882,-0.086289,-0.427011,0.094546,-0.516737,0.216475,0.548215,0.002179,0
2.00177,1.029496,-5.82335,3.545223,0.958983,-2.79653,-1.023172,-0.222301,0.27959,-0.264985,2.780427,-0.363375,-1.112241,0.772975,0.696598,0.062923,0.915663,-0.007782,0.946049,-0.495093,0.274471,-0.674743,-0.979371,0.189335,0.700696,-0.168709,-0.827961,0.841127,0.646535,-0.072831,0.033485,8
3.156352,-1.164385,-1.369762,0.245827,0.490754,-2.716237,0.938992,0.855272,0.115397,-0.661181,-0.07004,-0.026311,-0.294099,0.189816,0.549356,-0.572189,0.004096,0.158797,0.204146,0.204365,0.641113,-0.180226,-0.185441,-0.140903,0.474509,0.650706,-0.188193,0.772031,-0.524945,-0.558093,-0.38566,4
1.68215,-1.746828,-3.437795,-2.235538,0.973128,0.514095,-1.354054,0.5967,1.344912,0.099273,-0.572793,-0.820634,1.533514,0.926872,1.481155,-0.32177,0.157272,0.492474,0.095628,-0.479299,-0.69766,-0.290139,-0.391041,0.612186,-0.112065,0.781569,-0.105322,-0.186779,-0.00265,0.074557,0.076375,3
4.231946,-0.460503,-1.174402,3.201545,-1.049168,-0.401019,1.693334,1.438304,0.235617,0.277704,0.088812,0.582521,-0.555439,0.803465,0.528335,0.043276,-0.497152,0.336133,-1.721342,0.7609,1.734457,-0.206625,-0.094528,0.142764,0.258008,-0.524587,0.070282,-0.179512,-0.289018,1.041727,0.104996,4
2.032845,5.985687,-3.019969,-1.617752,0.252256,0.856288,-0.265419,-1.053433,-0.29898,0.009593,-0.088094,1.126357,-0.597506,-1.089692,-0.719384,-0.42377,-0.941114,-0.282025,0.3974,0.462625,0.019401,-0.575518,1.631259,-0.509298,-0.877592,0.09285,0.341049,0.989873,-0.453433,-0.012029,-1.18304,3
1.279036,-7.378559,0.698522,-3.433578,-1.036,-1.044546,-0.703327,0.011848,-2.347652,0.159709,-0.33836,0.200395,-1.135207,-1.391453,0.939778,-1.262799,1.309563,-0.355701,0.45036,-0.012673,-0.143916,-1.592597,-0.249766,-0.896704,-1.178778,-0.015324,1.014323,0.993292,0.256893,0.07521,-0.178581,6
8.171196,-1.055869,2.620338,0.764428,1.319604,0.693688,1.624178,-1.504989,1.11955,0.434122,1.059931,1.437166,-1.665115,-0.176863,-1.632159,0.948357,0.864308,-1.461883,-1.09464,0.737944,-1.597321,-0.527718,-0.414864,-0.370865,-0.152541,0.636245,0.236481,-0.205558,1.806868,-0.1389,0.6905,9
1.840794,0.304363,-1.087113,1.456771,0.15342,-0.224724,0.4602,-0.137358,0.954461,-0.451996,-0.245809,0.094728,0.359229,-1.622396,0.792325,0.039884,0.22728,0.384937,2.166752,0.158198,0.600361,0.946853,0.179119,-0.838035,-0.315868,-1.185084,-0.512436,-0.915686,-0.381539,-0.514272,-0.562882,2
1.097692,-2.007326,-2.838737,3.115827,-0.347235,-1.626262,0.156082,0.250426,0.307804,-1.271209,0.960604,-0.675578,-0.010134,-0.597625,0.842927,0.707422,0.478205,-0.18449,0.774441,0.595708,0.335517,-0.989682,0.062596,0.434322,0.706059,0.817841,0.326231,0.695778,-0.182487,0.943924,-1.350388,2
-6.451537,-1.288874,0.210523,1.183976,-0.15859,1.133741,-0.435874,-0.217212,-0.743634,0.154971,0.676443,1.145396,0.732205,0.62469,-0.493077,-0.745535,-0.453046,-0.45688,1.060814,0.821234,-0.357747,-0.683298,2.120181,-1.128415,-1.256732,0.128874,0.243486,-0.02888,0.076054,-0.680719,-0.576504,5
7.207991,6.235104,3.613486,-1.80358,3.408502,-2.519725,0.311157,1.823519,-0.290083,-1.451275,1.390541,2.271003,-0.292047,-0.084469,0.272885,1.521878,1.393956,-1.063268,1.810177,-0.881804,-0.04305,0.703146,0.682971,-0.277724,0.008245,1.701305,-0.049563,-0.341819,0.412681,-0.91587,-0.259966,3
0.695097,-4.798958,-1.065466,-1.882874,0.088669,0.063731,-1.069491,0.113841,-0.445152,0.297573,0.027267,-0.704451,0.423109,-0.108942,0.528438,0.016373,-0.051708,0.066646,-0.753915,0.080581,1.112735,0.761145,-0.089023,0.647788,0.447731,0.331331,0.1758,-0.386775,-0.167873,0.307845,-0.89768,3
2.26384,0.953594,-1.564312,4.302901,-0.598612,-0.164918,0.034175,1.087228,1.348039,0.908203,0.436067,0.263506,0.106362,0.864342,1.172642,-0.30149,-0.276969,-0.006515,0.234966,0.379018,-0.640227,-0.584856,-0.595267,-0.80785,-1.599402,0.437598,0.047411,0.575077,0.177108,-0.476547,-0.716359,5
-2.092867,-1.36274,-1.877383,-2.927678,1.430375,-1.051782,-0.278811,-0.680467,0.71387,0.266243,0.713293,-0.354755,-0.786167,0.00199,0.279069,0.199933,0.586035,1.275828,1.008531,0.50846,-0.016179,1.187287,-0.01332,0.075737,-0.26767,1.320325,-0.516457,0.433891,-0.314406,-0.598815,-0.370314,1
5.955679,-2.117705,2.483427,1.08838,-0.259462,-1.859235,0.427534,0.010189,1.336083,0.204681,-0.470221,0.211136,-0.711913,-0.355319,1.704339,-0.241068,0.534263,-0.83046,-0.521224,0.657181,-0.343351,1.080076,0.378868,0.214384,0.369251,1.109685,-0.29079,-1.044178,-0.334484,-0.599338,-0.153113,4
5.323084,-2.446413,-1.725479,-1.528801,-0.177191,-0.574797,2.642702,0.103818,0.662685,0.241255,0.584526,-0.477394,0.226938,1.819935,0.503196,0.354715,-0.031864,-0.933154,-0.545667,-0.151603,0.526555,-0.005128,-0.461865,0.031076,-0.563345,-0.16529,0.05217,0.341891,0.108689,-0.57846,-1.087381,3
0.184843,4.449061,-4.684904,1.263849,-1.444136,-1.495399,0.076583,0.472153,-0.0461,-1.576062,-3.895524,0.761381,1.50894,-4.504768,-1.272815,1.25401,0.672113,-0.422013,0.898323,0.097966,1.265555,1.177771,-0.236817,-0.06857,-0.087648,-0.196515,-0.343952,0.215183,-0.592287,0.983003,0.455943,2
1.20333,7.715908,1.575161,5.394252,-0.38918,0.2413,-0.4736,-0.809588,-0.198338,-2.113439,-1.113363,1.541897,-0.777515,-1.299874,2.03801,0.555109,0.739614,1.409573,0.213117,-2.216564,-1.685653,0.239334,-0.601784,1.775395,-0.586333,-0.158888,0.164826,0.576163,-0.921414,-0.324123,-0.11229,5
5.314016,1.007714,0.776021,2.675295,1.020173,-0.765406,0.203121,-2.586749,0.602299,0.971182,3.320445,0.315848,-1.537389,0.165002,-0.577749,-0.95102,-1.215807,-0.887295,1.244945,-0.61189,-0.052171,-1.308064,0.406764,0.033549,0.217658,0.260113,-0.240044,1.191609,-0.207763,-0.135176,-1.363249,8
4.397794,5.584453,-1.662424,-3.055892,0.804931,0.669356,1.405855,-2.223417,-1.345763,-2.659133,1.76326,0.178897,2.303004,-2.085988,0.211856,-0.871722,-1.068252,0.676736,-2.243434,2.770133,-1.530461,-0.338024,0.271682,0.432148,0.959479,-0.265394,1.210093,-0.578926,-0.456733,-0.138239,-0.835816,7
3.395083,-0.661436,2.358379,-1.060714,1.174507,-0.239026,-0.904311,-0.835396,-1.999655,-2.257461,-0.97106,-3.038573,1.930011,-0.519195,1.253977,-1.322291,1.025051,-0.426673,0.262491,0.858951,-0.203427,1.224263,-1.175895,-1.198258,-1.217663,-0.448446,0.644166,1.210522,0.287039,0.351155,0.165484,7
2.145305,-3.865967,-1.715785,-1.746523,1.648744,1.005079,-0.947217,0.602728,0.591432,0.2931,-0.718179,-1.187332,0.079457,0.098686,-0.414619,0.63486,0.489308,-0.1703,0.238907,0.109784,0.084011,-0.070244,-0.249221,0.597061,-1.391877,-0.167774,-0.342789,0.043932,-0.375592,-0.710952,-0.338731,6
1.492017,-4.683471,0.129921,-1.636365,-0.58692,-1.911437,-0.774024,0.499301,-0.701834,0.468808,0.420842,0.025127,0.647252,0.050144,1.059212,0.077055,-0.545931,-0.274468,-0.644355,-0.398375,-0.369013,-0.395931,0.090158,0.13619,0.412616,0.975444,-0.261991,-0.812856,0.440522,-1.010699,-0.107941,8
1.633225,-6.692536,-2.463404,-1.447297,1.131797,1.519639,-1.353674,0.70281,0.657491,-1.842732,-1.896179,0.397477,-2.193332,-0.202929,-0.115847,0.624622,1.667623,0.414974,-0.405027,0.557852,-0.01957,0.366876,0.699301,0.442136,0.461321,0.342751,-0.194749,0.845264,-0.215147,0.906435,0.023857,6
1.734743,0.657692,1.417659,2.740695,-1.577989,-2.883807,0.297749,-0.279007,0.047097,0.469181,0.257827,-0.301885,-0.689309,0.01304,1.195827,-0.392308,0.348102,0.800579,0.436683,-0.54334,-0.768651,0.196868,-0.097326,0.268004,-0.412545,-0.203638,-0.712472,-0.371859,-0.430955,0.089089,0.785746,4
6.632567,-0.195475,4.347961,2.42137,1.361553,-1.002223,-0.107654,0.479341,0.434441,-0.149238,-0.298629,-0.527748,0.243257,-1.617775,-0.112586,0.690396,-1.299709,2.212455,0.386624,1.036947,0.016225,0.093798,-1.255237,1.068666,-0.155879,0.207298,-0.065073,0.061558,0.595279,0.350849,0.083396,7
-0.477085,-4.349656,1.460301,-1.174497,-1.894697,-2.606585,-1.15465,0.677512,-0.805915,1.32302,-1.251689,-1.02781,0.249591,0.059376,0.453527,0.400939,0.217715,0.6571,0.526349,-0.420314,0.82362,0.867909,-0.490743,0.081409,-0.123777,-0.410457,-0.627638,0.306224,0.352476,0.202207,-0.655048,4
-2.772762,-2.356124,-1.188306,0.048262,2.565327,-1.451196,-3.012955,-0.388924,-0.097244,0.247855,1.715732,-0.758738,-0.759637,-0.143274,-0.488078,-0.633075,0.059579,-0.538313,-1.529513,0.487558,-0.302442,-0.356883,-0.163166,0.293223,0.752873,-0.188011,0.63624,-0.559265,-0.01257,0.738305,1.12986,1
4.00792,0.802413,2.028732,3.256963,1.284707,-2.662833,0.376757,0.184476,-0.165727,-0.182118,0.310547,-0.037588,-0.599081,-0.011451,0.98408,0.15111,0.271018,0.65899,-0.535394,0.574571,-0.032388,0.723613,0.268505,0.813359,-0.347723,-0.051873,-1.063733,-1.52085,0.381488,-0.966307,0.563088,4
