object,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
55,0.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
56,3.0,0.0,3.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
57,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0
58,2.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
59,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,3.0
60,5.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
61,0.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
62,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
63,0.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
64,0.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
65,3.0,3.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
66,2.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
67,3.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
68,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
69,2.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
70,3.0,0.0,9.0,0.0,1.0,2.0,1.0,1.0,7.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
71,0.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
72,3.0,0.0,9.0,0.0,1.0,2.0,1.0,1.0,10.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
73,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,3.0
74,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
75,3.0,3.0,9.0,0.0,1.0,2.0,1.0,1.0,7.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
76,2.0,3.0,8.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,6.0,4.0,6.0
77,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,3.0
78,2.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,10.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
79,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,0.0
80,2.0,3.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0
81,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,10.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
82,3.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,4.0
83,2.0,0.0,3.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0
84,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
85,2.0,3.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0
86,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
87,2.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
88,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,0.0
89,5.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
90,2.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,4.0
91,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
92,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
93,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
94,2.0,3.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
95,2.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
96,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
97,2.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
98,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
99,2.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
100,2.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,7.0,1.0,3.0,0.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0
101,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
102,3.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
103,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,3.0
104,0.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0
105,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
106,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,0.0
107,0.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
108,0.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
109,2.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
110,2.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
111,5.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,4.0
112,2.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,10.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,6.0,4.0,6.0
113,2.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
114,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
115,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
116,5.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,4.0
117,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,0.0
118,2.0,3.0,9.0,0.0,1.0,2.0,1.0,1.0,7.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,6.0,4.0,6.0
119,5.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,4.0
120,2.0,3.0,8.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,4.0,0.0
121,2.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
122,3.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,7.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,4.0,0.0
123,3.0,3.0,3.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
124,2.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
125,2.0,3.0,8.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,7.0,7.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0
126,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0
127,3.0,0.0,3.0,1.0,6.0,2.0,1.0,0.0,3.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
128,2.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
129,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
130,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
131,0.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
132,3.0,3.0,8.0,0.0,1.0,2.0,1.0,1.0,10.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,6.0,4.0,6.0
133,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
134,3.0,3.0,8.0,0.0,0.0,2.0,1.0,1.0,7.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
135,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,10.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
136,3.0,0.0,8.0,0.0,1.0,2.0,1.0,1.0,10.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
137,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
138,2.0,3.0,0.0,0.0,7.0,2.0,0.0,1.0,7.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,0.0
139,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0
140,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,3.0
141,0.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
142,5.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
143,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,3.0
144,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
145,2.0,0.0,3.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,7.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0
146,3.0,0.0,8.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
147,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
148,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
149,0.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
150,2.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
151,2.0,3.0,0.0,1.0,6.0,2.0,1.0,0.0,7.0,1.0,3.0,0.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
