object,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
28,0.0,57.42,8.5,0.0,0.0,11.0,1.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
29,0.0,42.08,1.04,0.0,0.0,9.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,500.0,10000.0
30,0.0,29.25,14.79,0.0,0.0,12.0,0.0,5.04,0.0,0.0,5.0,0.0,0.0,168.0,0.0
31,0.0,42.0,9.79,0.0,0.0,10.0,1.0,7.96,0.0,0.0,8.0,1.0,0.0,0.0,0.0
32,0.0,49.5,7.585,0.0,0.0,3.0,2.0,7.585,0.0,0.0,15.0,0.0,0.0,0.0,5000.0
33,1.0,36.75,5.125,0.0,0.0,11.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4000.0
34,1.0,22.58,10.75,0.0,0.0,8.0,0.0,0.415,0.0,0.0,5.0,0.0,0.0,0.0,560.0
35,0.0,27.83,1.5,0.0,0.0,9.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,434.0,35.0
36,0.0,27.25,1.585,0.0,0.0,2.0,1.0,1.835,0.0,0.0,12.0,0.0,0.0,583.0,713.0
37,1.0,23.0,11.75,0.0,0.0,10.0,1.0,0.5,0.0,0.0,2.0,0.0,0.0,300.0,551.0
38,0.0,27.75,0.585,1.0,1.0,2.0,0.0,0.25,0.0,0.0,2.0,1.0,0.0,260.0,500.0
39,0.0,54.58,9.415,0.0,0.0,13.0,7.0,14.415,0.0,0.0,11.0,0.0,0.0,30.0,300.0
40,0.0,34.17,9.17,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,0.0,0.0,0.0,221.0
41,0.0,28.92,15.0,0.0,0.0,0.0,1.0,5.335,0.0,0.0,11.0,1.0,0.0,0.0,2283.0
42,0.0,29.67,1.415,0.0,0.0,9.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,240.0,100.0
43,0.0,39.58,13.915,0.0,0.0,9.0,0.0,8.625,0.0,0.0,6.0,0.0,0.0,70.0,0.0
44,0.0,56.42,28.0,1.0,1.0,0.0,0.0,28.5,0.0,0.0,40.0,1.0,0.0,0.0,15.0
45,0.0,54.33,6.75,0.0,0.0,0.0,1.0,2.625,0.0,0.0,11.0,0.0,0.0,0.0,284.0
46,1.0,41.0,2.04,1.0,1.0,8.0,1.0,0.125,0.0,0.0,23.0,0.0,0.0,455.0,1236.0
47,0.0,31.92,4.46,0.0,0.0,2.0,1.0,6.04,0.0,0.0,3.0,1.0,0.0,311.0,300.0
48,0.0,41.5,1.54,0.0,0.0,3.0,2.0,3.5,1.0,1.0,0.0,1.0,0.0,216.0,0.0
49,0.0,23.92,0.665,0.0,0.0,0.0,0.0,0.165,1.0,1.0,0.0,1.0,0.0,100.0,0.0
50,1.0,25.75,0.5,0.0,0.0,0.0,1.0,0.875,0.0,1.0,0.0,0.0,0.0,491.0,0.0
51,0.0,26.0,1.0,0.0,0.0,8.0,0.0,1.75,0.0,1.0,0.0,0.0,0.0,280.0,0.0
52,0.0,37.42,2.04,0.0,0.0,9.0,0.0,0.04,0.0,1.0,0.0,0.0,0.0,400.0,5800.0
53,0.0,34.92,2.5,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,239.0,200.0
54,0.0,34.25,3.0,0.0,0.0,2.0,1.0,7.415,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,0.0,23.33,11.625,1.0,1.0,9.0,0.0,0.835,0.0,1.0,0.0,0.0,0.0,160.0,300.0
56,0.0,23.17,0.0,0.0,0.0,2.0,0.0,0.085,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57,0.0,44.33,0.5,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0
58,0.0,35.17,4.5,0.0,0.0,10.0,1.0,5.75,1.0,1.0,0.0,0.0,2.0,711.0,0.0
59,0.0,43.25,3.0,0.0,0.0,8.0,1.0,6.0,0.0,0.0,11.0,1.0,0.0,80.0,0.0
60,0.0,56.75,12.25,0.0,0.0,6.0,0.0,1.25,0.0,0.0,4.0,0.0,0.0,200.0,0.0
61,0.0,31.67,16.165,0.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,250.0,730.0
62,1.0,23.42,0.79,1.0,1.0,8.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,80.0,400.0
63,1.0,20.42,0.835,0.0,0.0,8.0,0.0,1.585,0.0,0.0,1.0,1.0,0.0,0.0,0.0
64,0.0,26.67,4.25,0.0,0.0,2.0,0.0,4.29,0.0,0.0,1.0,0.0,0.0,120.0,0.0
65,0.0,34.17,1.54,0.0,0.0,2.0,0.0,1.54,0.0,0.0,1.0,0.0,0.0,520.0,50000.0
66,1.0,36.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,456.0
67,0.0,25.5,0.375,0.0,0.0,6.0,0.0,0.25,0.0,0.0,3.0,1.0,0.0,260.0,15108.0
68,0.0,19.42,6.5,0.0,0.0,9.0,1.0,1.46,0.0,0.0,7.0,1.0,0.0,80.0,2954.0
69,0.0,35.17,25.125,0.0,0.0,10.0,1.0,1.625,0.0,0.0,1.0,0.0,0.0,515.0,500.0
70,0.0,32.33,7.5,0.0,0.0,11.0,2.0,1.585,0.0,1.0,0.0,0.0,2.0,420.0,0.0
71,0.0,34.83,4.0,0.0,0.0,1.0,2.0,12.5,0.0,1.0,0.0,0.0,0.0,,0.0
72,1.0,38.58,5.0,0.0,0.0,2.0,0.0,13.5,0.0,1.0,0.0,0.0,0.0,980.0,0.0
73,0.0,44.25,0.5,0.0,0.0,6.0,0.0,10.75,0.0,1.0,0.0,1.0,2.0,400.0,0.0
74,0.0,44.83,7.0,1.0,1.0,0.0,0.0,1.625,1.0,1.0,0.0,1.0,0.0,160.0,2.0
75,0.0,20.67,5.29,0.0,0.0,8.0,0.0,0.375,0.0,0.0,1.0,1.0,0.0,160.0,0.0
76,0.0,34.08,6.5,0.0,0.0,12.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,443.0,0.0
77,1.0,19.17,0.585,1.0,1.0,12.0,0.0,0.585,0.0,1.0,0.0,0.0,0.0,160.0,0.0
78,0.0,21.67,1.165,1.0,1.0,5.0,0.0,2.5,0.0,0.0,1.0,1.0,0.0,180.0,20.0
79,0.0,21.5,9.75,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,140.0,0.0
80,0.0,49.58,19.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,94.0,0.0
81,1.0,27.67,1.5,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,368.0,0.0
82,0.0,39.83,0.5,0.0,0.0,6.0,0.0,0.25,0.0,1.0,0.0,1.0,2.0,288.0,0.0
83,1.0,,3.5,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,300.0,0.0
84,0.0,27.25,0.625,0.0,0.0,12.0,0.0,0.455,0.0,1.0,0.0,0.0,0.0,200.0,0.0
85,0.0,37.17,4.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,280.0,0.0
86,0.0,,0.375,0.0,0.0,1.0,0.0,0.875,0.0,1.0,0.0,0.0,2.0,928.0,0.0
87,0.0,25.67,2.21,1.0,1.0,12.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,188.0,0.0
88,0.0,34.0,4.5,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,240.0,0.0
89,1.0,49.0,1.5,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,27.0
90,0.0,62.5,12.75,1.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,112.0,0.0
91,0.0,31.42,15.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,120.0,0.0
92,0.0,,5.0,1.0,1.0,12.0,0.0,8.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
93,0.0,52.33,1.375,1.0,1.0,0.0,1.0,9.46,0.0,1.0,0.0,0.0,0.0,200.0,100.0
94,0.0,28.75,1.5,1.0,1.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,225.0
95,1.0,28.58,3.54,0.0,0.0,3.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,171.0,0.0
96,0.0,23.0,0.625,1.0,1.0,12.0,0.0,0.125,0.0,1.0,0.0,1.0,0.0,180.0,1.0
97,0.0,,0.5,0.0,0.0,0.0,2.0,0.835,0.0,1.0,0.0,0.0,2.0,320.0,0.0
98,1.0,22.5,11.0,1.0,1.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,268.0,0.0
99,1.0,28.5,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,167.0,500.0
100,0.0,37.5,1.75,1.0,1.0,0.0,2.0,0.25,0.0,1.0,0.0,0.0,0.0,164.0,400.0
101,0.0,35.25,16.5,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,80.0,0.0
102,0.0,18.67,5.0,0.0,0.0,8.0,0.0,0.375,0.0,0.0,2.0,1.0,0.0,0.0,38.0
103,0.0,25.0,12.0,0.0,0.0,5.0,0.0,2.25,0.0,0.0,2.0,0.0,0.0,120.0,5.0
104,0.0,27.83,4.0,1.0,1.0,3.0,1.0,5.75,0.0,0.0,2.0,0.0,0.0,75.0,0.0
105,0.0,54.83,15.5,0.0,0.0,11.0,5.0,0.0,0.0,0.0,20.0,1.0,0.0,152.0,130.0
106,0.0,28.75,1.165,0.0,0.0,5.0,0.0,0.5,0.0,1.0,0.0,1.0,2.0,280.0,0.0
107,1.0,25.0,11.0,1.0,1.0,12.0,0.0,4.5,0.0,1.0,0.0,1.0,0.0,120.0,0.0
108,0.0,40.92,2.25,1.0,1.0,10.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,176.0,0.0
109,1.0,19.75,0.75,0.0,0.0,0.0,0.0,0.795,0.0,0.0,5.0,0.0,0.0,140.0,5.0
110,0.0,29.17,3.5,0.0,0.0,9.0,0.0,3.5,0.0,0.0,3.0,0.0,0.0,329.0,0.0
111,1.0,24.5,1.04,1.0,1.0,13.0,7.0,0.5,0.0,0.0,3.0,1.0,0.0,180.0,147.0
112,0.0,24.58,12.5,0.0,0.0,9.0,0.0,0.875,0.0,1.0,0.0,0.0,0.0,260.0,0.0
113,1.0,33.75,0.75,0.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,212.0,0.0
114,0.0,20.67,1.25,1.0,1.0,0.0,1.0,1.375,0.0,0.0,3.0,0.0,0.0,140.0,210.0
115,1.0,25.42,1.125,0.0,0.0,8.0,0.0,1.29,0.0,0.0,2.0,1.0,0.0,200.0,0.0
116,0.0,37.75,7.0,0.0,0.0,8.0,1.0,11.5,0.0,0.0,7.0,0.0,0.0,300.0,5.0
117,0.0,52.5,6.5,0.0,0.0,5.0,0.0,6.29,0.0,0.0,15.0,1.0,0.0,0.0,11202.0
118,0.0,57.83,7.04,0.0,0.0,6.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,360.0,1332.0
119,1.0,20.75,10.335,0.0,0.0,2.0,1.0,0.335,0.0,0.0,1.0,0.0,0.0,80.0,50.0
120,0.0,39.92,6.21,0.0,0.0,8.0,0.0,0.04,0.0,0.0,1.0,1.0,0.0,200.0,300.0
121,0.0,25.67,12.5,0.0,0.0,2.0,0.0,1.21,0.0,0.0,67.0,0.0,0.0,140.0,258.0
122,1.0,24.75,12.5,0.0,0.0,12.0,0.0,1.5,0.0,0.0,12.0,0.0,0.0,120.0,567.0
123,1.0,44.17,6.665,0.0,0.0,8.0,0.0,7.375,0.0,0.0,3.0,0.0,0.0,0.0,0.0
124,1.0,23.5,9.0,0.0,0.0,8.0,0.0,8.5,0.0,0.0,5.0,0.0,0.0,120.0,0.0
125,0.0,34.92,5.0,0.0,0.0,10.0,1.0,7.5,0.0,0.0,6.0,0.0,0.0,0.0,1000.0
126,0.0,47.67,2.5,0.0,0.0,6.0,2.0,2.5,0.0,0.0,12.0,0.0,0.0,410.0,2510.0
127,0.0,22.75,11.0,0.0,0.0,8.0,0.0,2.5,0.0,0.0,7.0,0.0,0.0,100.0,809.0
128,0.0,34.42,4.25,0.0,0.0,3.0,2.0,3.25,0.0,0.0,2.0,1.0,0.0,274.0,610.0
129,1.0,28.42,3.5,0.0,0.0,9.0,0.0,0.835,0.0,1.0,0.0,1.0,2.0,280.0,0.0
130,0.0,67.75,5.5,0.0,0.0,11.0,5.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,0.0,20.42,1.835,0.0,0.0,0.0,0.0,2.25,0.0,0.0,1.0,1.0,0.0,100.0,150.0
132,1.0,47.42,8.0,0.0,0.0,11.0,2.0,6.5,0.0,0.0,6.0,1.0,0.0,375.0,51100.0
133,0.0,36.25,5.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,6.0,1.0,0.0,0.0,367.0
134,0.0,32.67,5.5,0.0,0.0,8.0,1.0,5.5,0.0,0.0,12.0,0.0,0.0,408.0,1000.0
135,0.0,48.58,6.5,0.0,0.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,350.0,0.0
136,0.0,39.92,0.54,1.0,1.0,12.0,0.0,0.5,0.0,0.0,3.0,1.0,0.0,200.0,1000.0
137,0.0,33.58,2.75,0.0,0.0,6.0,0.0,4.25,0.0,0.0,6.0,1.0,0.0,204.0,0.0
138,1.0,18.83,9.5,0.0,0.0,9.0,0.0,1.625,0.0,0.0,6.0,0.0,0.0,40.0,600.0
139,1.0,26.92,13.5,0.0,0.0,8.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,5000.0
140,1.0,31.25,3.75,0.0,0.0,2.0,1.0,0.625,0.0,0.0,9.0,0.0,0.0,181.0,0.0
141,1.0,56.5,16.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,247.0
142,0.0,43.0,0.29,1.0,1.0,2.0,1.0,1.75,0.0,0.0,8.0,1.0,0.0,100.0,375.0
143,0.0,22.33,11.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,80.0,278.0
144,0.0,27.25,1.665,0.0,0.0,2.0,1.0,5.085,0.0,0.0,9.0,1.0,0.0,399.0,827.0
145,0.0,32.83,2.5,0.0,0.0,2.0,1.0,2.75,0.0,0.0,6.0,1.0,0.0,160.0,2072.0
146,0.0,23.25,1.5,0.0,0.0,8.0,0.0,2.375,0.0,0.0,3.0,0.0,0.0,0.0,582.0
147,1.0,40.33,7.54,1.0,1.0,8.0,1.0,8.0,0.0,0.0,14.0,1.0,0.0,0.0,2300.0
148,1.0,30.5,6.5,0.0,0.0,0.0,2.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,3065.0
149,1.0,52.83,15.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,14.0,1.0,0.0,0.0,2200.0
150,1.0,46.67,0.46,0.0,0.0,2.0,1.0,0.415,0.0,0.0,11.0,0.0,0.0,440.0,6.0
151,1.0,58.33,10.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,14.0,1.0,0.0,0.0,1602.0
152,0.0,37.33,6.5,0.0,0.0,6.0,1.0,4.25,0.0,0.0,12.0,0.0,0.0,93.0,0.0
153,0.0,23.08,2.5,0.0,0.0,0.0,0.0,1.085,0.0,0.0,11.0,0.0,0.0,60.0,2184.0
154,0.0,32.75,1.5,0.0,0.0,2.0,1.0,5.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0
155,1.0,21.67,11.5,1.0,1.0,4.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
156,1.0,28.5,3.04,1.0,1.0,10.0,1.0,2.54,0.0,0.0,1.0,1.0,0.0,70.0,0.0
157,1.0,68.67,15.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,3376.0
158,0.0,28.0,2.0,0.0,0.0,5.0,1.0,4.165,0.0,0.0,2.0,0.0,0.0,181.0,0.0
159,0.0,34.08,0.08,1.0,1.0,6.0,2.0,0.04,0.0,0.0,1.0,0.0,0.0,280.0,2000.0
160,0.0,27.67,2.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,140.0,7544.0
161,0.0,44.0,2.0,0.0,0.0,6.0,0.0,1.75,0.0,0.0,2.0,0.0,0.0,0.0,15.0
162,0.0,25.08,1.71,0.0,0.0,10.0,0.0,1.665,0.0,0.0,1.0,0.0,0.0,395.0,20.0
163,0.0,32.0,1.75,1.0,1.0,11.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,393.0,0.0
164,1.0,60.58,16.5,0.0,0.0,8.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,21.0,10561.0
165,1.0,40.83,10.0,0.0,0.0,8.0,1.0,1.75,0.0,1.0,0.0,1.0,0.0,29.0,837.0
166,0.0,19.33,9.5,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,60.0,400.0
167,1.0,32.33,0.54,0.0,0.0,2.0,0.0,0.04,0.0,1.0,0.0,1.0,0.0,440.0,11177.0
168,0.0,36.67,3.25,0.0,0.0,8.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,102.0,639.0
169,0.0,37.5,1.125,1.0,1.0,1.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,431.0,0.0
170,1.0,25.08,2.54,1.0,1.0,12.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,370.0,0.0
171,0.0,41.33,0.0,0.0,0.0,0.0,2.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
172,0.0,56.0,12.5,0.0,0.0,5.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,24.0,2028.0
173,1.0,49.83,13.585,0.0,0.0,5.0,1.0,8.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,0.0,22.67,10.5,0.0,0.0,8.0,1.0,1.335,0.0,1.0,0.0,1.0,0.0,100.0,0.0
175,0.0,27.0,1.5,1.0,1.0,9.0,0.0,0.375,0.0,1.0,0.0,0.0,0.0,260.0,1065.0
176,0.0,25.0,12.5,0.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,20.0,0.0
177,1.0,26.08,8.665,0.0,0.0,12.0,0.0,1.415,0.0,1.0,0.0,1.0,0.0,160.0,150.0
178,1.0,18.42,9.25,0.0,0.0,8.0,0.0,1.21,0.0,0.0,4.0,1.0,0.0,60.0,540.0
179,0.0,20.17,8.17,0.0,0.0,12.0,0.0,1.96,0.0,0.0,14.0,1.0,0.0,60.0,158.0
180,0.0,47.67,0.29,0.0,0.0,0.0,2.0,15.0,0.0,0.0,20.0,1.0,0.0,0.0,15000.0
181,1.0,21.25,2.335,0.0,0.0,3.0,2.0,0.5,0.0,0.0,4.0,1.0,2.0,80.0,0.0
182,1.0,20.67,3.0,0.0,0.0,8.0,0.0,0.165,0.0,0.0,3.0,1.0,0.0,100.0,6.0
183,1.0,57.08,19.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,7.0,1.0,0.0,0.0,3000.0
184,1.0,22.42,5.665,0.0,0.0,8.0,0.0,2.585,0.0,0.0,7.0,1.0,0.0,129.0,3257.0
185,0.0,48.75,8.5,0.0,0.0,0.0,1.0,12.5,0.0,0.0,9.0,1.0,0.0,181.0,1655.0
186,0.0,40.0,6.5,0.0,0.0,12.0,2.0,3.5,0.0,0.0,1.0,1.0,0.0,0.0,500.0
187,0.0,40.58,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,1.0,0.0,0.0,3065.0
188,1.0,28.67,1.04,0.0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,0.0,0.0,300.0,1430.0
189,1.0,33.08,4.625,0.0,0.0,8.0,1.0,1.625,0.0,0.0,2.0,1.0,0.0,0.0,0.0
190,0.0,21.33,10.5,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
191,0.0,42.0,0.205,0.0,0.0,3.0,1.0,5.125,0.0,1.0,0.0,1.0,0.0,400.0,0.0
192,0.0,41.75,0.96,0.0,0.0,10.0,0.0,2.5,0.0,1.0,0.0,1.0,0.0,510.0,600.0
193,0.0,22.67,1.585,1.0,1.0,9.0,0.0,3.085,0.0,0.0,6.0,1.0,0.0,80.0,0.0
194,0.0,34.5,4.04,1.0,1.0,3.0,2.0,8.5,0.0,0.0,7.0,0.0,0.0,195.0,0.0
195,0.0,28.25,5.04,1.0,1.0,0.0,2.0,1.5,0.0,0.0,8.0,0.0,0.0,144.0,7.0
196,0.0,33.17,3.165,1.0,1.0,10.0,0.0,3.165,0.0,0.0,3.0,0.0,0.0,380.0,0.0
197,0.0,48.17,7.625,0.0,0.0,9.0,1.0,15.5,0.0,0.0,12.0,1.0,0.0,0.0,790.0
198,0.0,27.58,2.04,1.0,1.0,12.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,370.0,560.0
199,0.0,22.58,10.04,0.0,0.0,10.0,0.0,0.04,0.0,0.0,9.0,1.0,0.0,60.0,396.0
200,1.0,24.08,0.5,0.0,0.0,8.0,1.0,1.25,0.0,0.0,1.0,1.0,0.0,0.0,678.0
201,1.0,41.33,1.0,0.0,0.0,3.0,2.0,2.25,0.0,1.0,0.0,0.0,0.0,0.0,300.0
202,0.0,24.83,2.75,0.0,0.0,0.0,0.0,2.25,0.0,0.0,6.0,1.0,0.0,,600.0
203,1.0,20.75,10.25,0.0,0.0,8.0,0.0,0.71,0.0,0.0,2.0,0.0,0.0,49.0,0.0
204,0.0,36.33,2.125,1.0,1.0,9.0,0.0,0.085,0.0,0.0,1.0,1.0,0.0,50.0,1187.0
205,1.0,35.42,12.0,0.0,0.0,8.0,1.0,14.0,0.0,0.0,8.0,1.0,0.0,0.0,6590.0
206,1.0,71.58,0.0,,,,,0.0,1.0,1.0,0.0,1.0,1.0,,0.0
207,0.0,28.67,9.335,0.0,0.0,8.0,1.0,5.665,0.0,0.0,6.0,1.0,0.0,381.0,168.0
208,0.0,35.17,2.5,0.0,0.0,5.0,0.0,4.5,0.0,0.0,7.0,1.0,0.0,150.0,1270.0
209,0.0,39.5,4.25,0.0,0.0,0.0,2.0,6.5,0.0,0.0,16.0,1.0,0.0,117.0,1210.0
210,0.0,39.33,5.875,0.0,0.0,2.0,1.0,10.0,0.0,0.0,14.0,0.0,0.0,399.0,0.0
211,0.0,24.33,6.625,1.0,1.0,1.0,0.0,5.5,0.0,1.0,0.0,0.0,2.0,100.0,0.0
212,0.0,60.08,14.5,0.0,0.0,13.0,7.0,18.0,0.0,0.0,15.0,0.0,0.0,0.0,1000.0
213,0.0,23.08,11.5,0.0,0.0,3.0,0.0,3.5,0.0,0.0,9.0,1.0,0.0,56.0,742.0
214,0.0,26.67,2.71,1.0,1.0,2.0,0.0,5.25,0.0,0.0,1.0,1.0,0.0,211.0,0.0
215,0.0,48.17,3.5,0.0,0.0,12.0,0.0,3.5,0.0,1.0,0.0,1.0,2.0,230.0,0.0
216,0.0,41.17,4.04,0.0,0.0,2.0,1.0,7.0,0.0,0.0,8.0,1.0,0.0,320.0,0.0
217,0.0,55.92,11.5,0.0,0.0,13.0,7.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,8851.0
218,0.0,53.92,9.625,0.0,0.0,11.0,0.0,8.665,0.0,0.0,5.0,1.0,0.0,0.0,0.0
219,1.0,18.92,9.25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,80.0,500.0
220,1.0,50.08,12.54,0.0,0.0,12.0,0.0,2.29,0.0,0.0,3.0,0.0,0.0,156.0,0.0
221,0.0,65.42,11.0,0.0,0.0,11.0,5.0,20.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0
222,1.0,17.58,9.0,0.0,0.0,12.0,0.0,1.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0
223,1.0,18.83,9.54,0.0,0.0,12.0,0.0,0.085,0.0,1.0,0.0,1.0,0.0,100.0,0.0
